date,ticker,weight_change,price,tc_cost
2023-10-06,AMZN,-0.0145,127.95999908447266,2e-06
2023-10-06,NVDA,-0.0152,45.73002243041992,2e-06
2023-10-06,TSLA,-0.015,260.5299987792969,2e-06
2023-10-06,BRK-B,-0.0152,346.3399963378906,2e-06
2023-10-06,UNH,-0.015,498.7088623046875,2e-06
2023-10-06,MA,-0.0152,392.1568298339844,2e-06
2023-10-06,MRK,-0.015,96.04420471191406,2e-06
2023-10-06,PFE,-0.015,28.2542781829834,2e-06
2023-10-13,AMZN,0.0048,129.7899932861328,0.0
2023-10-13,NVDA,0.005,45.42922592163086,0.0
2023-10-13,TSLA,0.005,251.1199951171875,0.0
2023-10-13,BRK-B,0.005,345.0899963378906,0.0
2023-10-13,UNH,0.005,512.5733032226562,0.0
2023-10-13,MA,0.005,392.2159423828125,0.0
2023-10-13,MRK,0.005,96.16439819335938,0.0
2023-10-13,PFE,0.005,27.3843936920166,0.0
2023-10-20,AMZN,-0.0173,125.16999816894531,3e-06
2023-10-20,NVDA,-0.0182,41.35807418823242,3e-06
2023-10-20,TSLA,-0.018,211.99000549316406,3e-06
2023-10-20,BRK-B,-0.0182,335.8599853515625,3e-06
2023-10-20,UNH,-0.018,500.8185729980469,3e-06
2023-10-20,MA,-0.0182,378.7948303222656,3e-06
2023-10-20,MRK,-0.018,94.92547607421875,3e-06
2023-10-20,PFE,-0.018,26.139257431030273,3e-06
2023-10-27,AMZN,-0.0009,127.73999786376953,0.0
2023-10-27,NVDA,-0.0009,40.471702575683594,0.0
2023-10-27,TSLA,-0.0009,207.3000030517578,0.0
2023-10-27,BRK-B,-0.0009,331.7099914550781,0.0
2023-10-27,UNH,-0.0009,498.5662841796875,0.0
2023-10-27,MA,-0.0009,358.7618713378906,0.0
2023-10-27,MRK,-0.0009,95.06415557861328,0.0
2023-10-27,PFE,-0.0009,25.678730010986328,0.0
2023-11-03,AMZN,-0.003,138.60000610351562,0.0
2023-11-03,NVDA,-0.0032,44.97355270385742,0.0
2023-11-03,TSLA,-0.0031,219.9600067138672,0.0
2023-11-03,BRK-B,-0.0032,351.80999755859375,0.0
2023-11-03,UNH,-0.0031,504.4960632324219,0.0
2023-11-03,MA,-0.0032,380.410888671875,0.0
2023-11-03,MRK,-0.0031,95.5819091796875,0.0
2023-11-03,PFE,-0.0031,26.65948486328125,0.0
2023-11-10,AMZN,-0.002,143.55999755859375,0.0
2023-11-10,NVDA,-0.0021,48.30122756958008,0.0
2023-11-10,TSLA,-0.002,214.64999389648438,0.0
2023-11-10,BRK-B,-0.0021,350.55999755859375,0.0
2023-11-10,UNH,-0.002,514.2933349609375,0.0
2023-11-10,MA,-0.0021,388.61920166015625,0.0
2023-11-10,MRK,-0.002,93.74202728271484,0.0
2023-11-10,PFE,-0.002,25.48041343688965,0.0
2023-11-17,AMZN,0.0195,145.17999267578125,4e-06
2023-11-17,NVDA,0.0205,49.26355743408203,4e-06
2023-11-17,TSLA,0.0202,234.3000030517578,4e-06
2023-11-17,BRK-B,0.0205,358.92999267578125,4e-06
2023-11-17,UNH,0.0202,509.61785888671875,4e-06
2023-11-17,MA,0.0205,394.4527587890625,4e-06
2023-11-17,MRK,0.0202,94.07487487792969,4e-06
2023-11-17,PFE,0.0202,25.8607177734375,4e-06
2023-11-24,AMZN,0.0139,146.74000549316406,2e-06
2023-11-24,NVDA,0.0145,47.74261474609375,2e-06
2023-11-24,TSLA,0.0144,235.4499969482422,2e-06
2023-11-24,BRK-B,0.0145,362.67999267578125,2e-06
2023-11-24,UNH,0.0144,519.8903198242188,2e-06
2023-11-24,MA,0.0145,406.4745178222656,2e-06
2023-11-24,MRK,0.0144,94.18582153320312,2e-06
2023-11-24,PFE,0.0144,26.362030029296875,2e-06
2023-12-01,AMZN,0.0126,147.02999877929688,2e-06
2023-12-01,NVDA,0.0132,46.73232650756836,2e-06
2023-12-01,TSLA,0.013,238.8300018310547,2e-06
2023-12-01,BRK-B,0.0132,357.07000732421875,2e-06
2023-12-01,UNH,0.013,521.7210693359375,2e-06
2023-12-01,MA,0.0132,408.3073425292969,2e-06
2023-12-01,MRK,0.013,95.6558837890625,2e-06
2023-12-01,PFE,0.013,24.987749099731445,2e-06
2023-12-08,AMZN,0.0093,147.4199981689453,1e-06
2023-12-08,NVDA,0.0098,47.47697830200195,1e-06
2023-12-08,TSLA,0.0096,243.83999633789062,1e-06
2023-12-08,BRK-B,0.0098,353.0799865722656,1e-06
2023-12-08,UNH,0.0096,524.2097778320312,1e-06
2023-12-08,MA,0.0098,406.1395568847656,1e-06
2023-12-08,MRK,0.0096,95.92400360107422,1e-06
2023-12-08,PFE,0.0096,24.875383377075195,1e-06
2023-12-15,AMZN,0.05,149.97000122070312,2.7e-05
2023-12-15,NVDA,0.0525,48.86013412475586,2.9e-05
2023-12-15,TSLA,0.0519,253.5,2.8e-05
2023-12-15,BRK-B,0.0525,356.5,2.9e-05
2023-12-15,UNH,0.0519,506.42681884765625,2.8e-05
2023-12-15,MA,0.0525,412.4559020996094,2.9e-05
2023-12-15,MRK,0.0519,97.8851089477539,2.8e-05
2023-12-15,PFE,0.0519,23.017074584960938,2.8e-05
2023-12-22,AMZN,-0.0646,153.4199981689453,4.6e-05
2023-12-22,NVDA,-0.0677,48.800174713134766,4.8e-05
2023-12-22,TSLA,-0.0669,252.5399932861328,4.7e-05
2023-12-22,BRK-B,-0.0677,356.4700012207031,4.8e-05
2023-12-22,UNH,-0.0669,496.1194152832031,4.7e-05
2023-12-22,MA,-0.0677,417.9051513671875,4.8e-05
2023-12-22,MRK,-0.0669,100.29707336425781,4.7e-05
2023-12-22,PFE,-0.0669,24.54694175720215,4.7e-05
2023-12-29,AMZN,-0.0014,151.94000244140625,0.0
2023-12-29,NVDA,-0.0014,49.49174880981445,0.0
2023-12-29,TSLA,-0.0014,248.47999572753906,0.0
2023-12-29,BRK-B,-0.0014,356.6600036621094,0.0
2023-12-29,UNH,-0.0014,501.9929504394531,0.0
2023-12-29,MA,-0.0014,420.2799072265625,0.0
2023-12-29,MRK,-0.0014,101.52633666992188,0.0
2023-12-29,PFE,-0.0014,24.8840274810791,0.0
2024-01-05,AMZN,0.0021,145.24000549316406,0.0
2024-01-05,NVDA,0.0022,49.06700134277344,0.0
2024-01-05,TSLA,0.0021,237.49000549316406,0.0
2024-01-05,BRK-B,0.0022,365.5899963378906,0.0
2024-01-05,UNH,0.0021,512.3958129882812,0.0
2024-01-05,MA,0.0022,413.29351806640625,0.0
2024-01-05,MRK,0.0021,109.16270446777344,0.0
2024-01-05,PFE,0.0021,25.471771240234375,0.0
