date,nav,daily_ret,drawdown,max_dd,var_95,cvar_95,realised_vol,gross_exp,net_exp,halt
2022-03-31,1003100.5159984545,-0.005220978411354254,-0.007194588244477907,-0.056136534260280334,0.010613039501255162,0.012399352308897825,0.08630701501803102,0.0,0.0,False
2022-04-01,1004148.6118638342,0.00107634518767615,-0.006157249283335227,-0.056136534260280334,0.010613039501255162,0.012399352308897825,0.0896740448698558,0.0,0.0,False
2022-04-04,1008124.0133042198,0.003958977180685268,-0.0022226485120585677,-0.056136534260280334,0.010613039501255162,0.012399352308897825,0.08948385088029141,0.0,0.0,False
2022-04-05,1002567.6235500701,-0.005511613334095784,-0.0077220114669783015,-0.056136534260280334,0.010613039501255162,0.012399352308897825,0.08952016954094866,0.0,0.0,False
2022-04-06,998348.4894279732,-0.004208328718173667,-0.011897843422533465,-0.056136534260280334,0.010613039501255162,0.012399352308897825,0.07847639294449042,0.0,0.0,False
2022-04-07,1001605.8637758982,0.003262762835241511,-0.00867390042863054,-0.056136534260280334,0.010613039501255162,0.012399352308897825,0.08060213710608304,0.0,0.0,False
2022-04-08,999451.3811988444,-0.0020387092482093204,-0.01080627094177194,-0.056136534260280334,0.010613039501255162,0.012399352308897825,0.0721268415693339,0.0,0.0,False
2022-04-11,988200.6649536778,-0.01125689198775367,-0.02194151790474368,-0.056136534260280334,0.010613039501255162,0.012399352308897825,0.07330779494968818,0.0,0.0,False
2022-04-12,984980.0119712623,-0.0032591082931182633,-0.02512911641489499,-0.056136534260280334,0.01119572420728684,0.012552271760064897,0.08451076897309984,0.0,0.0,False
2022-04-13,992497.7818516567,0.007632408565681376,-0.01768850353258662,-0.056136534260280334,0.01119572420728684,0.012552271760064897,0.08565362232024513,0.0,0.0,False
2022-04-14,986828.1801023764,-0.005712457854266206,-0.02329991655591795,-0.056136534260280334,0.01119572420728684,0.012552271760064897,0.08385702508499732,0.0,0.0,False
2022-04-18,988016.3710737441,0.001204050507804153,-0.022123920324474702,-0.056136534260280334,0.01119572420728684,0.012552271760064897,0.08247017503844757,0.0,0.0,False
2022-04-19,992349.9989896452,0.004386190393982382,-0.017834769657296735,-0.056136534260280334,0.01119572420728684,0.012552271760064897,0.07928182932934004,0.0,0.0,False
2022-04-20,987164.2226739483,-0.005225753333981631,-0.022967322884281036,-0.056136534260280334,0.01119572420728684,0.012552271760064897,0.07802434618557234,0.0,0.0,False
2022-04-21,980502.8972916151,-0.0067479404432724665,-0.029560281200588935,-0.056136534260280334,0.01119572420728684,0.012552271760064897,0.07992762091189445,0.0,0.0,False
2022-04-22,969227.0527358042,-0.011495594618404553,-0.040720398575247285,-0.056136534260280334,0.01119572420728684,0.012552271760064897,0.08186298873144067,0.0,0.0,False
2022-04-25,973359.9615163503,0.004264128584607974,-0.03662990700618069,-0.056136534260280334,0.01119572420728684,0.011572519580053963,0.08968093887967056,0.0,0.0,False
2022-04-26,956031.7347703032,-0.017802485648836717,-0.0537802892612216,-0.056136534260280334,0.01119572420728684,0.011572519580053963,0.08650178138252872,0.0,0.0,False
2022-04-27,958237.5538957531,0.002307265590906203,-0.051597109081196815,-0.056136534260280334,0.011336133538868035,0.013208917995324726,0.10322795321178681,0.0,0.0,False
2022-04-28,972656.6122871562,0.015047477875169739,-0.037326037563349165,-0.056136534260280334,0.011336133538868035,0.013208917995324726,0.09987300198569588,0.0,0.0,False
2022-04-29,953620.6218776056,-0.019571131444619843,-0.05616665622050992,-0.05616665622050992,0.011336133538868035,0.013208917995324726,0.11585691169683325,0.0,0.0,False
2022-05-02,953620.6218776056,0.0,-0.05616665622050992,-0.05616665622050992,0.01148052897212995,0.015265466317565056,0.1312502520860934,0.0,0.0,False
2022-05-03,953620.6218776056,0.0,-0.05616665622050992,-0.05616665622050992,0.01148052897212995,0.015265466317565056,0.1311901076452645,0.0,0.0,False
2022-05-04,953620.6218776056,0.0,-0.05616665622050992,-0.05616665622050992,0.01148052897212995,0.015265466317565056,0.1308868635714544,0.0,0.0,False
2022-05-05,953620.6218776056,0.0,-0.05616665622050992,-0.05616665622050992,0.01148052897212995,0.015265466317565056,0.1291638476878587,0.0,0.0,False
2022-05-06,953620.6218776056,0.0,-0.05616665622050992,-0.05616665622050992,0.011471724355339464,0.015265466317565056,0.1290126505143818,0.0,0.0,False
